iter	RMSE
434	0.0841136326
435	0.08401231765
436	0.0839554526
437	0.0837978585
438	0.08368825436
439	0.08366675759
440	0.0836418136
441	0.08354096254
442	0.08343412334
443	0.08332584814
444	0.08324742472
445	0.08319699215
446	0.08316932443
447	0.08314429267
448	0.0830913035
449	0.08293510079
450	0.08288134745
451	0.08280967856
452	0.0827301961
453	0.08262623523
454	0.08249932618
455	0.08234369661
456	0.08229390758
457	0.08228096267
458	0.08218296674
459	0.082162758
460	0.08208033123
461	0.08193652401
462	0.08192163493
463	0.08188961883
464	0.08183885503
465	0.08179483603
466	0.08165943841
467	0.08159512301
468	0.08154622862
469	0.08145942477
470	0.08141089509
471	0.08132413198
472	0.08120544317
473	0.0811679918
474	0.08106576251
475	0.08094340586
476	0.08091925855
477	0.08084694257
478	0.08083081598
479	0.08080436178
480	0.08072356622
481	0.08067131491
482	0.08053339542
483	0.08053232169
484	0.08051726434
485	0.08048942354
486	0.08045772814
487	0.08041334274
488	0.08032682967
489	0.08027600723
490	0.08020051652
491	0.08014129149
492	0.08010353171
493	0.08001927043
494	0.07997964491
495	0.07991341604
496	0.07988135879
497	0.0798295678
498	0.07974022557
499	0.07965883469
500	0.0795744619
501	0.07938283814
502	0.07933306172
503	0.07929571672
504	0.07926608757
505	0.07923228025
506	0.07909573376
507	0.07901223154
508	0.07884874239
509	0.07880240135
510	0.07871955611
511	0.0786768464
512	0.0786762068
513	0.07859504946
514	0.07847454408
515	0.07839752927
516	0.07831772972
517	0.07821783021
518	0.0780994408
519	0.07796964933
520	0.0778877777
521	0.07784016938
522	0.07778463599
523	0.07766456223
524	0.07766240039
525	0.07764890016
526	0.0774648418
527	0.0773784904
528	0.07730885731
529	0.07728561932
530	0.0772271108
531	0.07718310185
532	0.07710986448
533	0.07707091484
534	0.07703407494
535	0.07684881676
536	0.07675236388
537	0.07663554501
538	0.07661043512
539	0.07648267923
540	0.07639877418
541	0.07630806626
542	0.07628367523
543	0.07619870619
544	0.07617439475
545	0.07609742517
546	0.07609627285
547	0.07606178245
548	0.07596231538
549	0.07593756883
550	0.07593692011
551	0.07593575718
552	0.07592633275
553	0.07587625911
554	0.07581482307
555	0.07566936359
556	0.07559046766
557	0.07555931595
558	0.07548481631
559	0.07532967984
560	0.07523995002
561	0.07516905008
562	0.07505736575
563	0.07493267102
564	0.07491299814
565	0.07485614081
566	0.07479494582
567	0.07470744739
568	0.07466016379
569	0.0745556242
570	0.07455456643
571	0.07447658861
572	0.07434580558
573	0.07432547371
574	0.07432476425
575	0.07427680172
576	0.07417936178
577	0.07411684899
578	0.0740738008
579	0.07403974745
580	0.07392162167
581	0.07385855775
582	0.07378592857
583	0.07371306556
584	0.07370492567
585	0.0737036606
586	0.07370281113
587	0.07359372596
588	0.07354360985
589	0.07350465172
590	0.07343339509
591	0.07338052495
592	0.07337570847
593	0.07331659305
594	0.07327275983
595	0.07315029438
596	0.07304598512
597	0.07299721295
598	0.07292630367
599	0.07284011814
600	0.07282423244
601	0.07271739102
602	0.0725854015
603	0.07248562605
604	0.07245282944
605	0.0723973655
606	0.07238549391
607	0.07231237633
608	0.07223404651
609	0.07216245924
610	0.07208498221
611	0.07202828189
612	0.07197092036
613	0.07192419815
614	0.07185664262
615	0.07185620773
616	0.07181451209
617	0.07168380293
618	0.07155028312
619	0.07144297285
620	0.07137411425
621	0.07131994729
622	0.07121330659
623	0.07118773694
624	0.0711162922
625	0.07111487931
626	0.07107508586
627	0.07100641238
628	0.07094072613
629	0.07089620534
630	0.070881266
631	0.07076841175
632	0.07069839792
633	0.07067750817
634	0.07061318925
635	0.07054755857
636	0.0704964422
637	0.07047167102
638	0.07039095001
639	0.07026984516
640	0.07023296936
641	0.07015187593
642	0.07011018088
643	0.0700484806
644	0.06998280365
645	0.06994698536
646	0.06989574043
647	0.06988721529
648	0.06981991788
649	0.06975793151
650	0.06972690008
651	0.06966067013
652	0.06964365851
653	0.06954852802
654	0.0694720638
655	0.06936545399
656	0.06933451842
657	0.06924979928
658	0.069124199
659	0.06909564116
660	0.0690261111
661	0.06894644673
662	0.06884585871
663	0.06884426231
664	0.06882751479
665	0.06878995547
666	0.06875134689
667	0.0686854094
668	0.06865709229
669	0.06863508417
670	0.06854420012
671	0.06841482673
672	0.06835040138
673	0.06832915906
674	0.06832833818
675	0.06826429319
676	0.06825987554
677	0.06815855563
678	0.06815608602
679	0.06809530961
680	0.06801989255
681	0.06800056515
682	0.06788753112
683	0.06781300202
684	0.06776477407
685	0.06759742017
686	0.06757790748
687	0.06756881654
688	0.06749026593
689	0.06748855206
690	0.06745233553
691	0.0674242727
692	0.06739460534
693	0.06733952469
694	0.06729002774
695	0.06725308792
696	0.06724976057
697	0.06718214707
698	0.06709864129
699	0.06704986436
700	0.06704441929
701	0.06703034069
702	0.0669983838
703	0.06694510917
704	0.06692709448
705	0.06692034245
706	0.06685094431
707	0.06678217628
708	0.06674317496
709	0.06670549424
710	0.06666094842
711	0.06665962875
712	0.06660400821
713	0.06656445115
714	0.06653763875
715	0.06649037904
716	0.06645085765
717	0.06634543495
718	0.06631837632
719	0.06631011832
720	0.06629656033
721	0.06626613938
722	0.06623466689
723	0.066205471
724	0.06613769665
725	0.06602772163
726	0.06602544099
727	0.06597476478
728	0.06596996169
729	0.06586045247
730	0.06578144217
731	0.06577879264
732	0.06576297255
733	0.06571798123
734	0.06567134952
735	0.06564291783
736	0.06561103088
737	0.06554322548
738	0.06550269278
739	0.06549461731
740	0.06548657254
741	0.06544645033
742	0.06542689848
743	0.06533302443
744	0.06522487434
745	0.06519863805
746	0.06511630014
747	0.06503730054
748	0.06500168082
749	0.06499546319
750	0.06495374607
751	0.06487438887
752	0.06481811077
753	0.06478751203
754	0.06472932116
755	0.06468375791
756	0.06467435394
757	0.06466989743
758	0.06465276468
759	0.06457967217
760	0.06453000351
761	0.06446571851
762	0.06442443968
763	0.06440257008
764	0.06432811149
765	0.06424891623
766	0.06420925388
767	0.0641430571
768	0.06411033503
769	0.06404604509
770	0.06396432084
771	0.06395116281
772	0.06385770586
773	0.06379339084
774	0.06377405448
775	0.0636862656
776	0.06366647295
777	0.06363578096
778	0.06360436411
779	0.06357445739
780	0.0635458468
781	0.0634959387
782	0.06348020921
783	0.06346801124
784	0.06343914364
785	0.06340326829
786	0.06326756976
787	0.06320513113
788	0.06319425795
789	0.06311310171
790	0.06310824726
791	0.06310097587
792	0.0630517526
793	0.06301471131
794	0.0629795524
795	0.06295460751
796	0.0629506428
797	0.0629064081
798	0.062831921
799	0.06278373547
800	0.06273311618
801	0.06272941888
802	0.06271795734
803	0.06271185856
804	0.06265621847
805	0.06263954353
806	0.06261851957
807	0.0625604378
808	0.06256001809
809	0.06255646778
810	0.06252174877
811	0.06246600089
812	0.06242999952
813	0.06242317708
814	0.06241457973
815	0.06238919076
816	0.06234154982
817	0.06228174587
818	0.06223926851
819	0.06223698679
820	0.06222360294
821	0.06217440148
822	0.06212129477
823	0.0620952197
824	0.06207294789
825	0.06205793637
826	0.06201777967
827	0.06194694001
828	0.06193446098
829	0.06189319659
830	0.06186505953
831	0.06186400607
832	0.06184216955
833	0.06181690529
834	0.06180029867
835	0.06173973525
836	0.06169569972
837	0.06169510515
838	0.06168823498
839	0.06166133681
840	0.06162062345
841	0.06159246279
842	0.06151601009
843	0.06149244578
844	0.06147986912
845	0.06143426662
846	0.06139180792
847	0.06139150393
848	0.06136255347
849	0.06124081929
850	0.06117278687
851	0.06111809634
852	0.06111418706
853	0.06111410251
854	0.061075203
855	0.06100456147
856	0.06089429742
857	0.06087745178
858	0.06083237879
859	0.06081777762
860	0.06073879719
861	0.06068111755
862	0.06062649936
863	0.0605794451
864	0.06053444621
865	0.06050051437
866	0.06040700019
867	0.06040670635
868	0.06038392032
869	0.06034817723
870	0.06028117933
871	0.06025812033
872	0.06020486614
873	0.0601810634
874	0.06014066151
875	0.06012676523
876	0.06008439928
877	0.06007682181
878	0.06005460369
879	0.06001669204
880	0.05995736887
881	0.05992673458
882	0.05986602738
883	0.05986528368
884	0.05982590478
885	0.05974055824
886	0.0597402767
887	0.05972723747
888	0.0596730963
889	0.05965409316
890	0.05963267706
891	0.05957265694
892	0.05957259137
893	0.05951092328
894	0.05948032421
895	0.05947885553
896	0.0594391081
897	0.05938897712
898	0.05938666162
899	0.05936095547
900	0.05929526019
901	0.05929454059
902	0.05923492488
903	0.05920338143
904	0.0591738028
905	0.0591367922
906	0.0591353815
907	0.0591043546
908	0.05904913402
909	0.0590268832
910	0.05900620829
911	0.05897065016
912	0.05896632924
913	0.05891786628
914	0.05886841916
915	0.05884290905
916	0.05878296625
917	0.05878217952
918	0.05877632487
919	0.05869222593
